Quarter,1a. Electricity,1b. Stationary Energy (excluding electricity),1c. Transport,1d. Fugitive Emissions,2. Industrial Processes,3. Agriculture,4. LULUCF,5. Waste
September 1999,0.04,0.56,0.2,9.26,0.03,18.62,4.0,4.65
December 1999,0.04,0.54,0.19,8.83,0.02,18.78,4.11,4.59
March 2000,0.04,0.53,0.19,8.6,0.02,18.61,4.05,4.56
June 2000,0.04,0.54,0.19,9.18,0.02,18.54,4.01,4.59
September 2000,0.04,0.54,0.19,9.37,0.02,18.59,3.97,4.68
December 2000,0.04,0.53,0.18,8.72,0.02,18.45,3.9,4.68
March 2001,0.04,0.52,0.18,8.58,0.02,18.28,3.86,4.63
June 2001,0.04,0.51,0.18,9.05,0.02,18.3,3.9,4.64
September 2001,0.04,0.47,0.19,9.14,0.02,18.47,3.99,4.71
December 2001,0.04,0.44,0.19,8.5,0.02,18.35,4.0,4.69
March 2002,0.04,0.44,0.18,8.3,0.02,18.24,3.95,4.69
June 2002,0.04,0.44,0.18,8.72,0.02,17.98,3.97,4.51
September 2002,0.04,0.45,0.18,8.88,0.02,17.62,4.05,4.2
December 2002,0.04,0.44,0.18,8.27,0.02,17.23,4.06,3.98
March 2003,0.04,0.43,0.18,8.05,0.02,17.09,4.05,4.0
June 2003,0.04,0.43,0.17,8.55,0.02,17.27,3.95,3.97
September 2003,0.04,0.44,0.18,8.84,0.02,17.73,3.8,3.95
December 2003,0.04,0.43,0.18,8.3,0.02,17.85,3.69,3.91
March 2004,0.04,0.42,0.17,8.06,0.02,17.66,3.67,3.89
June 2004,0.04,0.42,0.17,8.69,0.02,17.74,3.69,3.89
September 2004,0.04,0.43,0.16,9.23,0.02,18.05,3.76,3.9
December 2004,0.04,0.42,0.15,8.81,0.02,18.06,3.75,3.88
March 2005,0.04,0.41,0.15,8.57,0.02,17.88,3.68,3.84
June 2005,0.04,0.41,0.15,9.1,0.02,17.82,3.79,3.83
September 2005,0.04,0.41,0.15,9.46,0.02,17.83,4.03,3.85
December 2005,0.04,0.4,0.15,8.92,0.02,17.63,4.1,3.81
March 2006,0.04,0.4,0.15,8.73,0.02,17.52,4.02,3.77
June 2006,0.04,0.4,0.14,9.42,0.02,17.39,4.1,3.8
September 2006,0.05,0.4,0.14,9.93,0.02,17.27,4.27,3.9
December 2006,0.05,0.39,0.14,9.42,0.02,17.01,4.33,3.91
March 2007,0.04,0.39,0.14,9.27,0.02,16.93,4.29,3.85
June 2007,0.05,0.39,0.14,10.11,0.02,16.76,4.26,3.9
September 2007,0.05,0.4,0.13,10.2,0.03,16.56,4.23,4.01
December 2007,0.05,0.39,0.13,9.21,0.03,16.33,4.18,4.04
March 2008,0.04,0.38,0.13,8.94,0.03,16.26,4.15,4.0
June 2008,0.06,0.39,0.13,9.47,0.02,16.24,4.13,3.99
September 2008,0.1,0.39,0.13,9.7,0.02,16.34,4.13,3.99
December 2008,0.12,0.37,0.13,9.15,0.02,16.26,4.09,3.96
March 2009,0.11,0.35,0.13,8.92,0.02,16.14,4.06,3.92
June 2009,0.11,0.35,0.12,9.47,0.02,15.99,4.04,3.93
September 2009,0.1,0.37,0.13,9.78,0.02,15.81,4.03,3.97
December 2009,0.1,0.37,0.13,8.98,0.03,15.54,3.98,3.95
March 2010,0.1,0.36,0.12,8.7,0.03,15.36,3.94,3.92
June 2010,0.09,0.37,0.12,9.39,0.03,15.68,3.96,3.89
September 2010,0.07,0.37,0.12,9.92,0.03,16.4,4.01,3.85
December 2010,0.07,0.34,0.12,9.03,0.03,16.59,4.01,3.78
March 2011,0.07,0.33,0.12,8.1,0.03,16.33,4.01,3.78
June 2011,0.08,0.35,0.11,8.37,0.03,16.46,3.9,3.69
September 2011,0.09,0.37,0.11,9.06,0.04,16.8,3.73,3.55
December 2011,0.09,0.35,0.11,8.7,0.04,16.87,3.61,3.45
March 2012,0.09,0.33,0.11,8.69,0.04,16.71,3.6,3.46
June 2012,0.09,0.36,0.11,9.16,0.03,16.75,3.6,3.4
September 2012,0.08,0.37,0.11,9.36,0.02,16.98,3.62,3.3
December 2012,0.08,0.36,0.11,8.81,0.02,16.96,3.6,3.22
March 2013,0.08,0.34,0.11,8.84,0.02,16.78,3.55,3.2
June 2013,0.09,0.35,0.11,8.87,0.02,16.78,3.6,3.22
September 2013,0.1,0.36,0.11,8.69,0.02,16.9,3.73,3.28
December 2013,0.11,0.35,0.11,8.42,0.02,16.78,3.75,3.27
March 2014,0.11,0.35,0.1,8.27,0.02,16.66,3.71,3.24
June 2014,0.12,0.37,0.1,8.71,0.02,16.51,3.68,3.22
September 2014,0.12,0.37,0.11,9.5,0.02,16.35,3.66,3.18
December 2014,0.13,0.34,0.11,9.26,0.02,16.08,3.63,3.13
March 2015,0.13,0.34,0.11,8.74,0.02,15.99,3.62,3.1
June 2015,0.14,0.35,0.1,9.22,0.02,15.92,3.55,3.15
September 2015,0.17,0.34,0.11,9.71,0.02,15.9,3.44,3.26
December 2015,0.19,0.33,0.11,9.47,0.02,15.78,3.35,3.29
March 2016,0.19,0.35,0.1,8.96,0.02,15.64,3.34,3.25
June 2016,0.18,0.38,0.1,8.89,0.02,15.83,3.34,3.28
September 2016,0.17,0.37,0.1,9.23,0.02,16.32,3.38,3.35
December 2016,0.17,0.33,0.1,9.17,0.02,16.44,3.36,3.36
March 2017,0.17,0.32,0.1,8.84,0.02,16.22,3.36,3.32
June 2017,0.17,0.36,0.1,9.11,0.02,16.27,3.24,3.32
September 2017,0.17,0.38,0.1,9.6,0.02,16.48,3.06,3.33
December 2017,0.17,0.35,0.1,9.36,0.02,16.4,2.92,3.29
March 2018,0.18,0.34,0.1,9.07,0.02,16.32,2.92,3.27
June 2018,0.17,0.37,0.09,8.97,0.02,16.01,2.93,3.25
September 2018,0.15,0.38,0.09,8.96,0.02,15.56,2.96,3.24
December 2018,0.15,0.34,0.09,8.62,0.02,15.14,2.96,3.2
March 2019,0.15,0.33,0.09,8.8,0.02,15.1,2.93,3.17
June 2019,0.13,0.37,0.09,9.14,0.02,14.99,2.94,3.19
September 2019,0.09,0.38,0.09,9.39,0.02,14.88,2.97,3.25
December 2019,0.07,0.36,0.09,8.87,0.02,14.71,2.96,3.25
March 2020,0.07,0.36,0.09,8.8,0.02,14.61,2.92,3.22
June 2020,0.09,0.37,0.07,8.91,0.02,14.73,2.93,3.26
September 2020,0.13,0.37,0.08,8.48,0.02,15.07,2.97,3.37
December 2020,0.15,0.35,0.08,7.96,0.02,15.13,2.95,3.4
March 2021,0.15,0.35,0.09,8.28,0.02,14.89,2.91,3.35
June 2021,0.15,0.37,0.08,8.58,0.02,15.12,2.92,3.36
September 2021,0.15,0.4,0.08,8.41,0.02,15.64,2.97,3.4
