Quarter,1a. Electricity,1b. Stationary Energy (excluding electricity),1c. Transport,1d. Fugitive Emissions,2. Industrial Processes,3. Agriculture,4. LULUCF,5. Waste
September 1999,43.75,18.35,18.03,2.09,5.56,0.42,5.75,0.01
December 1999,43.13,18.05,18.23,2.01,5.29,0.43,6.25,0.01
March 2000,42.93,17.7,17.81,1.94,5.09,0.42,5.61,0.01
June 2000,44.33,17.97,17.58,2.1,5.16,0.43,7.41,0.01
September 2000,44.85,18.44,18.11,2.19,5.24,0.45,10.88,0.01
December 2000,44.83,18.13,18.19,2.06,5.18,0.46,12.59,0.01
March 2001,45.56,17.72,17.77,2.02,5.12,0.45,12.23,0.01
June 2001,46.9,18.1,17.65,2.14,5.2,0.46,11.41,0.01
September 2001,46.39,18.81,18.38,2.18,5.28,0.48,9.94,0.01
December 2001,44.94,18.64,18.57,2.05,5.15,0.49,9.05,0.01
March 2002,44.85,18.29,18.1,1.99,5.08,0.48,8.96,0.01
June 2002,46.9,18.59,18.05,2.05,5.25,0.48,9.79,0.01
September 2002,47.57,19.27,18.93,2.01,5.52,0.49,11.41,0.01
December 2002,46.34,19.18,19.18,1.82,5.61,0.48,12.19,0.01
March 2003,45.17,18.79,18.66,1.78,5.58,0.48,12.15,0.01
June 2003,46.58,19.05,18.66,1.87,5.65,0.49,11.17,0.01
September 2003,47.52,19.72,19.66,1.9,5.83,0.51,9.4,0.01
December 2003,48.0,19.59,19.96,1.76,5.9,0.51,8.39,0.01
March 2004,48.55,19.11,19.43,1.71,5.79,0.51,8.13,0.01
June 2004,49.86,19.42,19.38,1.82,5.57,0.5,9.8,0.01
September 2004,49.52,20.23,20.16,1.89,5.35,0.5,13.04,0.01
December 2004,48.77,20.14,20.07,1.79,5.27,0.49,14.6,0.01
March 2005,48.06,19.67,19.57,1.74,5.3,0.49,14.18,0.01
June 2005,49.21,19.79,19.54,1.84,5.49,0.48,13.71,0.01
September 2005,49.61,20.2,20.37,1.92,5.72,0.47,12.92,0.01
December 2005,49.6,19.71,20.65,1.8,5.72,0.46,12.35,0.01
March 2006,49.79,19.4,20.23,1.76,5.6,0.45,12.1,0.01
June 2006,51.03,19.7,19.87,1.92,5.77,0.45,13.14,0.01
September 2006,51.26,20.3,20.59,2.04,6.04,0.46,15.2,0.01
December 2006,51.27,20.02,20.94,1.95,6.11,0.46,16.19,0.01
March 2007,50.3,19.66,20.72,1.91,6.04,0.45,16.08,0.01
June 2007,50.85,19.96,20.62,2.08,6.04,0.45,15.04,0.01
September 2007,51.37,20.76,21.12,2.11,6.04,0.46,13.21,0.01
December 2007,51.4,20.52,21.17,1.92,5.98,0.46,12.13,0.01
March 2008,50.22,20.19,20.86,1.84,5.96,0.45,12.28,0.01
June 2008,51.86,20.7,20.91,1.99,5.99,0.46,12.22,0.01
September 2008,53.21,21.39,21.62,2.13,5.92,0.48,12.2,0.01
December 2008,53.11,20.48,21.56,2.08,5.43,0.49,12.05,0.01
March 2009,51.64,19.39,20.89,2.02,4.81,0.48,12.16,0.01
