Quarter,1a. Electricity,1b. Stationary Energy (excluding electricity),1c. Transport,1d. Fugitive Emissions,2. Industrial Processes,3. Agriculture,4. LULUCF,5. Waste
September 1999,0.14,0.15,0.39,0.01,0.4,3.07,1.02,0.09
December 1999,0.14,0.15,0.39,0.01,0.39,3.11,1.03,0.09
March 2000,0.13,0.14,0.38,0.01,0.36,3.08,1.02,0.09
June 2000,0.14,0.14,0.38,0.01,0.39,3.07,1.02,0.09
September 2000,0.15,0.15,0.4,0.01,0.45,3.08,1.04,0.09
December 2000,0.16,0.14,0.4,0.01,0.46,3.06,1.03,0.09
March 2001,0.16,0.14,0.39,0.01,0.45,3.02,1.02,0.09
June 2001,0.17,0.14,0.39,0.01,0.47,3.04,1.02,0.09
September 2001,0.18,0.15,0.42,0.01,0.49,3.1,1.02,0.09
December 2001,0.18,0.14,0.43,0.01,0.48,3.09,1.0,0.09
March 2002,0.17,0.14,0.42,0.01,0.47,3.09,0.99,0.09
June 2002,0.19,0.14,0.42,0.01,0.5,2.98,1.01,0.09
September 2002,0.2,0.15,0.45,0.01,0.53,2.8,1.06,0.09
December 2002,0.2,0.15,0.46,0.01,0.55,2.68,1.08,0.09
March 2003,0.19,0.15,0.45,0.01,0.55,2.65,1.07,0.09
June 2003,0.2,0.15,0.45,0.01,0.54,2.76,1.04,0.09
September 2003,0.2,0.16,0.47,0.01,0.55,2.99,0.98,0.1
December 2003,0.2,0.16,0.48,0.01,0.55,3.09,0.94,0.1
March 2004,0.2,0.15,0.47,0.01,0.53,3.04,0.93,0.09
June 2004,0.21,0.16,0.46,0.01,0.54,3.04,0.95,0.1
September 2004,0.21,0.16,0.47,0.01,0.56,3.05,0.99,0.1
December 2004,0.21,0.16,0.47,0.01,0.57,3.03,1.0,0.1
March 2005,0.21,0.16,0.46,0.01,0.58,3.0,0.98,0.1
June 2005,0.21,0.16,0.45,0.01,0.58,3.01,0.99,0.1
September 2005,0.21,0.16,0.46,0.01,0.59,3.04,1.03,0.1
December 2005,0.21,0.16,0.46,0.01,0.58,3.02,1.03,0.1
March 2006,0.21,0.16,0.46,0.01,0.57,3.02,1.02,0.1
June 2006,0.22,0.16,0.44,0.01,0.58,2.91,1.03,0.1
September 2006,0.22,0.16,0.45,0.01,0.6,2.73,1.06,0.1
December 2006,0.22,0.16,0.45,0.01,0.61,2.6,1.07,0.1
March 2007,0.22,0.16,0.45,0.01,0.6,2.6,1.06,0.1
June 2007,0.22,0.16,0.45,0.01,0.62,2.61,1.05,0.1
September 2007,0.22,0.17,0.45,0.01,0.68,2.63,1.05,0.11
December 2007,0.22,0.17,0.45,0.01,0.7,2.62,1.04,0.11
March 2008,0.22,0.16,0.45,0.01,0.69,2.59,1.02,0.11
June 2008,0.22,0.16,0.44,0.01,0.71,2.63,1.08,0.11
September 2008,0.23,0.16,0.45,0.01,0.74,2.73,1.21,0.13
December 2008,0.24,0.14,0.44,0.01,0.7,2.76,1.26,0.14
