Quarter,1a. Electricity,1b. Stationary Energy (excluding electricity),1c. Transport,1d. Fugitive Emissions,2. Industrial Processes,3. Agriculture,4. LULUCF,5. Waste
September 1999,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0
December 1999,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0
March 2000,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0
June 2000,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0
September 2000,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
December 2000,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0
March 2001,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0
June 2001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
September 2001,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0
December 2001,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0
March 2002,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0
June 2002,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0
September 2002,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0
December 2002,0.0,0.0,0.0,0.0,1.23,0.0,0.0,0.0
March 2003,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0
June 2003,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0
September 2003,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0
December 2003,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.0
March 2004,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0
June 2004,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.0
September 2004,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0
December 2004,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0
March 2005,0.0,0.0,0.0,0.0,1.62,0.0,0.0,0.0
June 2005,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.0
September 2005,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0
December 2005,0.0,0.0,0.0,0.0,1.31,0.0,0.0,0.0
March 2006,0.0,0.0,0.0,0.0,1.31,0.0,0.0,0.0
June 2006,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0
September 2006,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0
December 2006,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.0
March 2007,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0
June 2007,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0
September 2007,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.0
December 2007,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0
March 2008,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0
June 2008,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.0
